frame_no,timestamp,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,135.5,,,,,,,,,,,,,,,,,,,61,191,392,13.525762866751597,27.75968085741689,,,,,,,,,,,,,
1,135.5,,,,,,,,,,,,,,,,,,,40,98,40,6.939920214354222,2.8326204956547847,,,,,,,,,,,,,
2,256.2,,,,,,,,,,,,,,,,,,,63,55,739,3.894853181525329,52.33266365722215,,,,,,,,,,,,,
3,277.4,,,,,,,,,,,,,,,,,,,49,47,724,3.328329082394372,51.2704309713516,,,,,,,,,,,,,
4,293.9,,,,,,,,,,,,,,,,,,,61,837,984,59.27258387157637,69.6824641931077,,,,,,,,,,,,,
5,318.1,,,,,,,,,,,,,,,,,,,39,97,41,6.869104701962853,2.9034360080461545,,,,,,,,,,,,,
6,318.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,474,463,33.566552873509195,32.787582237204134,,,,
7,338.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,475,463,33.637368385900565,32.787582237204134,,,,
8,338.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,474,463,33.566552873509195,32.787582237204134,,,,
9,348.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,474,463,33.566552873509195,32.787582237204134,0.0,0.0,0.0,0.0
10,372.9,11,464,481,32.858397749595504,34.062261460248784,,,,,,,,,,,,,,,,,,,,,,,22,475,462,33.637368385900565,32.716766724812764,0.0,-0.3745455139194345,0.0,96.03731126139328
11,372.9,12,90,105,6.373396115223265,7.43562880109381,,,,,,,,,,,,,,,,,,,,,,,21,475,462,33.637368385900565,32.716766724812764,1.107782160861,-1.107782160861,-53.77583305150478,53.77583305150478
12,383.2,9,91,106,6.444211627614635,7.506444313485179,,,,,,,,,,,,,,,,,,,,,,,22,474,463,33.566552873509195,32.787582237204134,0.18007261304604824,0.0,10.438992060640478,0.0
13,415.4,11,92,105,6.515027140006005,7.43562880109381,-436.7289768108033,-441.215805003313,8617.17823682254,8719.679940776934,,,,,,,,,,,,,,,,,,,22,475,463,33.637368385900565,32.787582237204134,0.0,1.1734462899024323,0.0,-23.190638140364264
14,448.8,11,91,106,6.444211627614635,7.506444313485179,0.21552830839426754,0.21552830839426484,-18.905991964409477,-18.905991964409235,,,,,,,,,,,,,,,,,,,22,474,463,33.566552873509195,32.787582237204134,-0.21552830839426754,0.5274235763452694,18.905991964409477,-10.687407828678205
15,483.7,11,90,104,6.373396115223265,7.3648132887024405,-0.3507313524422085,-0.34436419614015656,7.0427982418114174,21.192034468583067,,,,,,,,,,,,,,,,,,,22,475,463,33.637368385900565,32.787582237204134,0.3507313524422085,0.0,-7.0427982418114174,0.0
16,516.6,11,91,105,6.444211627614635,7.43562880109381,-0.3455033382812057,0.0,7.001080816235177,0.0,,,,,,,,,,,,,,,,,,,22,475,463,33.637368385900565,32.787582237204134,-0.3632277057478404,0.0,-7.178413157071942,0.0
17,547.5,12,90,105,6.373396115223265,7.43562880109381,-0.009327271135641576,-0.7128492714404386,14.3496479009868,0.09388295053480182,,,,,,,,,,,,,,,,,,,22,475,463,33.637368385900565,32.787582237204134,0.009327271135641576,0.0,-14.3496479009868,0.0
18,583.3,12,90,105,6.373396115223265,7.43562880109381,0.3538990135087683,0.7099331595112124,7.1064058937503685,-0.021404837029466568,,,,,,,,,,,,,,,,,,,22,475,463,33.637368385900565,32.787582237204134,-0.3538990135087683,0.0,-7.1064058937503685,0.0
19,615.3,12,91,105,6.444211627614635,7.43562880109381,-0.3517610001524007,0.0,-7.127882475225957,0.0,,,,,,,,,,,,,,,,,,,23,474,463,33.566552873509195,32.787582237204134,-0.3610882712880427,0.0,7.221765425760853,0.0
20,647.5,11,91,104,6.444211627614635,7.3648132887024405,0.0021181110386248344,-0.0021181110386248344,-14.12074025750147,14.12074025750147,,,,,,,,,,,,,,,,,,,22,474,463,33.566552873509195,32.787582237204134,-0.0021181110386248344,-1.4099590871194683,14.12074025750147,-28.199181742389364
21,683.2,11,91,106,6.444211627614635,7.506444313485179,0.355140149782869,0.0028269750265259223,-7.081558320695297,-14.134875132633915,,,,,,,,,,,,,,,,,,,23,474,463,33.566552873509195,32.787582237204134,-0.0028269750265259223,-0.7046263495126862,14.134875132634091,-14.10663362387759
22,715.3,10,90,105,6.373396115223265,7.43562880109381,-0.021958298415928817,0.0,13.72393650995539,0.0,,,,,,,,,,,,,,,,,,,22,474,463,33.566552873509195,32.787582237204134,0.0,0.0,0.0,0.0
23,747.8,11,90,105,6.373396115223265,7.43562880109381,0.362958377925279,-0.005676679500502779,21.315959936198464,-14.191698751257759,,,,,,,,,,,,,,,,,,,21,475,459,33.637368385900565,32.504320187638655,-0.005676679500502779,-0.33457498042276507,-14.191698751257759,49.64253382009033
24,783.5,13,91,105,6.444211627614635,7.43562880109381,-0.7134888621875545,0.36170653861398533,-14.227095955883446,21.29099803567399,,,,,,,,,,,,,,,,,,,21,475,461,33.637368385900565,32.645951212421394,0.3517823235735736,-0.34682021605336777,-7.0639020797906324,21.24135213752303
25,818.5,12,91,105,6.444211627614635,7.43562880109381,-0.041609057250122296,0.0,-14.104765169532785,0.0,,,,,,,,,,,,,,,,,,,23,474,463,33.566552873509195,32.787582237204134,0.3746113072298378,0.0,7.259909054841815,0.0
26,847.3,12,92,104,6.515027140006005,7.3648132887024405,0.361192572284384,-0.004266016138115474,-21.351453516919975,14.220053793717806,,,,,,,,,,,,,,,,,,,23,474,462,33.566552873509195,32.716766724812764,-0.3569265561462685,1.4234402084469586,7.1313997232021675,-14.30554509909086
27,883.1,10,89,107,6.302580602831896,7.577259825876549,-0.02109789674763434,0.02109789674763434,28.130528996845687,-28.130528996845687,,,,,,,,,,,,,,,,,,,22,475,462,33.637368385900565,32.716766724812764,0.0,0.3581565075832723,0.0,-7.085193028353555
28,915.8,10,90,105,6.373396115223265,7.43562880109381,-0.3692463263358926,0.0,7.370186154409031,0.0,,,,,,,,,,,,,,,,,,,23,475,463,33.637368385900565,32.787582237204134,0.3692463263358926,-0.34818208422043406,-7.370186154409031,-7.156877373492995
29,947.4,12,91,105,6.444211627614635,7.43562880109381,-0.707447676237461,0.3537238381187305,0.0,-7.067409353021587,,,,,,,,,,,,,,,,,,,23,474,463,33.566552873509195,32.787582237204134,0.3537238381187305,0.3537238381187305,7.067409353021587,-7.067409353021587
30,984.2,12,91,105,6.444211627614635,7.43562880109381,0.3325901043967433,-0.6934526678054589,-21.133733721981645,13.995008431997165,,,,,,,,,,,,,,,,,,,22,475,462,33.637368385900565,32.716766724812764,-0.36086256340871553,0.36086256340871553,-7.13872528998448,7.13872528998448
31,1016.0,10,90,105,6.373396115223265,7.43562880109381,0.0,0.3576425658971445,0.0,7.13857416960368,,,,,,,,,,,,,,,,,,,22,475,462,33.637368385900565,32.716766724812764,0.0,-0.3519545044031257,0.0,7.08157956545524
32,1047.5,12,90,105,6.373396115223265,7.43562880109381,0.035297719720496695,0.0,14.840067851307843,0.0,,,,,,,,,,,,,,,,,,,22,475,463,33.637368385900565,32.787582237204134,0.18597851282531155,-0.22127623254580825,-10.418964303939045,-4.421103547368796
33,1083.3,10,90,105,6.373396115223265,7.43562880109381,-0.4084233561691675,0.22950648861577158,6.1788707438603225,4.631816117371782,,,,,,,,,,,,,,,,,,,23,474,463,33.566552873509195,32.787582237204134,-0.17891686755339298,0.4084233561691675,10.810686861232162,-6.1788707438603225
34,1115.4,11,90,106,6.373396115223265,7.506444313485179,0.22990307287142073,0.17676016815240034,4.625816355561781,-10.778059033683036,,,,,,,,,,,,,,,,,,,22,475,462,33.637368385900565,32.716766724812764,-0.22990307287142073,0.0,-4.625816355561781,0.0
35,1183.3,11,92,105,6.515027140006005,7.43562880109381,0.17986078396787214,0.0,-12.711009467694062,0.0,,,,,,,,,,,,,,,,,,,22,474,462,33.566552873509195,32.716766724812764,-0.28533874530154635,-0.08993039198393607,3.477620296179721,6.355504733847031
36,1215.5,11,90,106,6.373396115223265,7.506444313485179,0.1859716078295411,0.11364621817327773,2.81348877200516,-6.384618998498768,,,,,,,,,,,,,,,,,,,22,475,463,33.637368385900565,32.787582237204134,0.1136462181732792,0.0,-6.384618998498847,0.0
37,1247.6,13,91,105,6.444211627614635,7.43562880109381,0.1249067010774774,-0.30318262526961864,-6.21426373519784,3.517199829113904,,,,,,,,,,,,,,,,,,,22,474,462,33.566552873509195,32.716766724812764,-0.1249067010774774,0.17827592419214505,6.21426373519784,2.6970639060838923
38,1347.4,12,90,105,6.373396115223265,7.43562880109381,-0.38475594615686676,0.0,5.829635547831314,0.0,,,,,,,,,,,,,,,,,,,22,474,463,33.566552873509195,32.787582237204134,0.0,0.19237797307843338,0.0,-2.914817773915657
39,1383.3,11,91,105,6.444211627614635,7.43562880109381,-0.1132413281249243,-0.18605026551296794,-6.37979313379855,2.8125512549201517,,,,,,,,,,,,,,,,,,,23,474,463,33.566552873509195,32.787582237204134,0.1132413281249243,0.0,6.37979313379855,0.0
40,1420.0,11,90,105,6.373396115223265,7.43562880109381,-0.1745536521381717,0.0,2.7402457164548126,0.0,,,,,,,,,,,,,,,,,,,22,475,463,33.637368385900565,32.787582237204134,-0.1450889127185709,-0.1450889127185709,-6.448396120825374,-6.448396120825374
41,1479.4,11,90,105,6.373396115223265,7.43562880109381,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,22,474,463,33.566552873509195,32.787582237204134,0.0,-0.401765273744537,0.0,-6.087352632492985
42,1515.6,10,90,105,6.373396115223265,7.43562880109381,-0.23094357649394132,0.0,4.600469651273728,0.0,,,,,,,,,,,,,,,,,,,22,475,463,33.637368385900565,32.787582237204134,-0.17006914483296498,0.0,-10.66264230927685,0.0
43,1547.4,10,90,105,6.373396115223265,7.43562880109381,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,22,474,462,33.566552873509195,32.716766724812764,0.1515959306223141,-0.6407454667636434,11.10592898331964,-1.3327114779983655
44,1579.6,10,90,105,6.373396115223265,7.43562880109381,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,22,474,462,33.566552873509195,32.716766724812764,0.0,-1.508812051356458e-15,0.0,14.106619573501687
45,1616.0,11,90,105,6.373396115223265,7.43562880109381,0.35853767782053436,0.0,7.142184817142114,0.0,,,,,,,,,,,,,,,,,,,23,474,463,33.566552873509195,32.787582237204134,-0.3507243125875573,-0.35853767782053436,7.063933788269034,-7.142184817142114
46,1647.5,11,90,105,6.373396115223265,7.43562880109381,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,21,475,461,33.637368385900565,32.645951212421394,0.0007060356050283212,-0.0007060356050283212,-14.120712100548129,14.120712100548129
47,1679.8,12,90,105,6.373396115223265,7.43562880109381,0.35390043514225394,-0.35390043514225394,7.06388094096315,-7.06388094096315,,,,,,,,,,,,,,,,,,,22,474,463,33.566552873509195,32.787582237204134,0.35390043514225394,-0.0007060356050266999,7.06388094096315,-14.1207121005481
48,1715.3,12,91,105,6.444211627614635,7.43562880109381,0.35782596788341225,0.0,-7.156519357668244,0.0,,,,,,,,,,,,,,,,,,,22,474,462,33.566552873509195,32.716766724812764,0.0,-0.35782596788341225,0.0,7.156519357668244
49,1747.7,10,90,105,6.373396115223265,7.43562880109381,0.3554967105017667,0.0,7.095742724586159,0.0,,,,,,,,,,,,,,,,,,,22,474,462,33.566552873509195,32.716766724812764,-0.35266407867558397,0.35266407867558397,7.067416406324332,-7.067416406324332
50,1779.9,12,91,104,6.444211627614635,7.3648132887024405,0.35301568228665997,0.0028383056218175217,-7.081558320695298,14.191528109076456,,,,,,,,,,,,,,,,,,,22,475,462,33.637368385900565,32.716766724812764,0.35301568228665997,-0.35301568228665997,-7.081558320695298,7.081558320695298
51,1815.3,11,91,105,6.444211627614635,7.43562880109381,1.0590534075411044,1.412071210054803,21.181068150822085,28.241424201096056,,,,,,,,,,,,,,,,,,,22,474,462,33.566552873509195,32.716766724812764,0.35301780251370296,0.35301780251370296,7.060356050274058,7.060356050274058
52,1847.5,10,91,105,6.444211627614635,7.43562880109381,3.8923735781367905,3.5372312996289703,63.78355322000353,70.88639879015975,,,,,,,,,,,,,,,,,,,22,474,462,33.566552873509195,32.716766724812764,0.35372312996289834,0.0,7.088639879016002,0.0
53,1879.6,11,91,105,6.444211627614635,7.43562880109381,7.31073240074695,9.0491560932611,146.65461185049074,167.27923994788037,,,,,,,,,,,,,,,,,,,22,475,462,33.637368385900565,32.716766724812764,0.0,0.22153734547718099,0.0,4.444079146984581
54,1915.5,9,94,109,6.656658164788744,7.718890850659288,12.33034748822288,14.354442218305104,203.79486160330515,230.08933444661446,,,,,,,,,,,,,,,,,,,22,475,463,33.637368385900565,32.787582237204134,0.16985375290408009,0.4016338750513484,-10.716325104358344,-6.089975360899896
55,1947.5,10,101,115,7.152366751528332,8.143783925007506,,,,,,,,,,,,,,,,,,,,,,,22,475,462,33.637368385900565,32.716766724812764,0.5901687563476883,-0.2364456263847896,-2.3597273513202035,-4.728912527695791
56,2015.1,9,124,144,8.781123536529833,10.197433784357225,77.1932760945913,76.58478483651638,884.8220478372488,829.5566086610537,13,7,11,0.49570858673958734,0.7789706363050658,,,,,,,,,,,,,,22,475,463,33.637368385900565,32.787582237204134,0.0,-0.29548744585747294,0.0,-12.07544138070641
57,2047.4,9,142,164,10.055802759574485,11.613744032184618,79.80762738595327,73.36800191593693,819.3632869597022,664.7334054719873,18,16,27,1.1330481982619138,1.9120188345669797,,,,,,,,,,,,,,23,474,463,33.566552873509195,32.787582237204134,-0.11486457192757875,-0.7429412793342974,6.399140497358213,-11.265220308328988
58,2147.3,,,,,,,,,,17,91,109,6.444211627614635,7.718890850659288,,,,,,,,,,,,,,22,476,460,33.708183898291935,32.575135700030025,-0.2958481932977777,0.17081533245799155,-6.509311183669438,8.8055988023983
59,2179.8,11,473,481,33.49573736111783,34.062261460248784,,,,,17,124,146,8.781123536529833,10.339064809139964,70.7013710033725,79.32315540980493,247.66568675877835,258.3807340578745,,,,,,,,,,21,475,460,33.637368385900565,32.575135700030025,-0.43760514512124965,-0.4888195866426996,-5.31396654670612,9.72775296801392
60,2215.2,8,494,470,34.98286312133659,33.28329082394372,,,,,17,160,186,11.330481982619139,13.17168530479475,78.98225954648967,87.99425585020204,217.05485186148246,249.0172662440898,,,,,,,,,,21,475,459,33.637368385900565,32.504320187638655,0.15768769657207043,0.6985853847379812,-3.150603328113284,28.44670617331446
61,2256.2,,,,,,,,,,17,199,228,14.092286965882554,16.145936825232273,89.48059086186323,99.92471578060226,353.54142587726665,413.982984353019,,,,,,,,,,22,475,461,33.637368385900565,32.645951212421394,-0.2963795755975535,0.7189648454308459,6.499552096437558,1.2614262292427674
62,2280.3,,,,,,,,,,17,242,277,17.137353998711447,19.615896932409385,92.5635452593932,103.56560006253493,187.4024576396431,224.05597544919007,,,,,,,,,,21,474,460,33.566552873509195,32.575135700030025,-0.35037727479173164,0.7163500256499183,7.049844563213942,14.25572190348096
63,2315.3,,,,,,,,,,17,287,328,20.32405205632308,23.227488064369236,98.9914601554501,111.50501370446739,182.72937608977279,220.72814542954177,,,,,,,,,,22,475,462,33.637368385900565,32.716766724812764,-0.4627467777979568,1.2070197319691216,-9.24568986609301,-18.288177757107903
64,2347.4,,,,,,,,,,16,335,381,23.72319665110882,26.980710221111824,110.0119597876776,124.57956889955031,96.70789267129184,126.69361913268172,,,,,,,,,,22,475,462,33.637368385900565,32.716766724812764,-0.43526087382026246,0.24243224354035017,-9.545194601321517,-11.711702586490448
65,2379.7,,,,,,,,,,16,385,438,27.263972270677304,31.01719442741989,109.55075736408777,124.6749977857389,154.3925545272514,200.68039725109293,,,,,,,,,,22,474,462,33.566552873509195,32.716766724812764,0.0,0.601791530386238,0.0,-16.560721808182787
66,2447.3,7,492,473,34.84123209655385,33.49573736111783,,,,,15,494,563,34.98286312133659,39.8691334763411,122.491117551339,141.39981671259042,173.32603899945317,232.2234152995951,,,,,,,,,,22,473,462,33.49573736111783,32.716766724812764,-0.06291461146066515,-0.4006198800178318,15.303752992415607,-6.06999818208836
