frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
76,2677.9,11,922,519,82.87049154,46.64835695,-43.05130836,2.197846176,-1.83361452,-8.004432614,9,793,802,71.27581322,72.08474427,-28.18964611,-27.89579763,6.529313241,0.652343627,,,,,,,,,
77,2713.8,10,906,519,81.4323919,46.64835695,-42.69572213,3.147665753,-10.69590883,9.113992901,9,782,792,70.28711972,71.18593199,-27.8598081,-27.86340336,16.86178568,-1.114531676,,,,,,,,,
78,2745.8,10,890,520,79.99429227,46.73823818,-42.20231178,2.693764582,1.684714619,-0.107534976,9,772,781,69.38830745,70.19723849,-27.83556735,-27.38840062,1.111194748,10.06348147,,,,,,,,,
79,2777.9,9,874,521,78.55619263,46.82811941,-42.61049619,2.240772997,10.64985794,8.862969027,9,762,771,68.48949518,69.29842622,-27.8077869,-27.8077869,1.107871128,1.107871128,,,,,,,,,
80,2813.6,10,858,523,77.11809299,47.00788186,-42.7164824,2.252213598,10.27987137,-27.05892587,9,752,761,67.5906829,68.39961395,-27.42626204,-28.32552799,-8.17348792,-8.146483004,,,,,,,,,
81,2846.1,10,843,523,75.76987459,47.00788186,-42.58758352,2.240981061,-9.367102165,-8.921049681,9,741,751,66.6019894,67.50080168,-27.79371004,-28.24333719,-0.27655254,-27.11106998,,,,,,,,,
82,2878.3,10,827,524,74.33177495,47.09776309,-42.676434,2.24281996,-11.9633602,-8.822192859,9,731,740,65.70317713,66.51210818,-27.39760218,-28.30227274,7.063139146,-10.95818665,,,,,,,,,
83,2913.7,10,811,524,72.89367531,47.09776309,-41.8927613,2.208453453,6.178092733,26.18459729,9,721,729,64.80436486,65.52341468,-27.63139575,-28.5227311,4.074912228,4.20636101,,,,,,,,,
84,2946.3,10,795,525,71.45557568,47.18764431,-42.28182224,2.252022392,15.47012166,9.141435527,9,710,718,63.81567136,64.53472118,-27.43900861,-28.78589906,7.356421489,16.28149168,,,,,,,,,
85,2978,10,779,526,70.01747604,47.27752554,-42.25033014,2.244374667,20.51108066,8.853380566,9,701,708,63.00674031,63.6359089,-27.41157131,-28.76251045,-7.343362358,1.725735095,,,,,,,,,
86,3015.3,10,764,528,68.66925763,47.457288,-41.52382896,2.662641474,1.084354934,-17.24388821,9,690,697,62.01804681,62.6472154,-27.23315937,-28.12632622,3.764386639,3.596884658,,,,,,,,,
87,3045.9,10,749,528,67.32103922,47.457288,-41.81355501,2.251358924,-6.067165202,-9.154758175,9,680,687,61.11923454,61.74840313,-26.97851874,-28.32429564,1.890363045,-7.012346724,,,,,,,,,
