frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
102,3582.2,12,942,680,84.66811608,61.11923454,-46.95484096,-21.21317364,7.106642266,-5.85842433,9,826,830,74.24189372,74.60141863,-36.11910843,-41.98166099,5.466647897,-2.715101789,,,,,,,,,
103,3619.7,12,925,671,83.14013522,60.3103035,-46.59015865,-21.25587357,2.025733936,5.875545035,9,812,814,72.98355654,73.16331899,-36.17817587,-42.97097507,12.71354285,2.57570695,,,,,,,,,
104,3650.3,12,908,664,81.61215436,59.6811349,-47.20590765,-20.65079158,10.27694343,17.91559832,9,799,799,71.81510059,71.81510059,-36.67929688,-43.53797796,15.23921176,8.753022254,,,,,,,,,
105,3682.5,12,890,656,79.99429227,58.96208509,-46.55212242,-21.03887007,0.923637645,9.334068898,9,786,783,70.64664463,70.37700095,-35.80932494,-42.5226817,0.710490496,-8.072948266,,,,,,,,,
106,3718.3,11,874,648,78.55619263,58.24303527,-46.09625187,-20.59403781,7.992659192,7.549115397,9,773,767,69.47818868,68.93890131,-35.35153649,-42.51468007,4.05399029,6.679769558,,,,,,,,,
107,3750.4,12,856,642,76.93833054,57.7037479,-46.71490407,-20.2136286,-0.466682125,-9.181073349,9,759,751,68.21985149,67.50080168,-35.48491087,-43.12144991,8.624644661,-0.4307835,,,,,,,,,
108,3783,11,838,633,75.32046845,56.89481686,-44.61795147,-20.10307061,37.56732665,9.288805864,9,746,735,67.05139554,66.06270204,-34.96186193,-41.95423432,16.15444498,19.38533398,,,,,,,,,
109,3820.6,10,822,625,73.88236881,56.17576704,-46.78771341,-20.22400006,-21.51096886,-0.314750799,9,733,719,65.88293959,64.6246024,-35.51998329,-42.71809305,-7.347182927,-10.65656275,,,,,,,,,
110,3850.4,11,804,619,72.26450672,55.63647968,-45.70849739,-21.05660812,20.5948157,-7.678516925,9,720,703,64.71448363,63.18650277,-34.94945746,-43.01471688,2.084423388,2.56544417,,,,,,,,,
111,3888.4,12,788,610,70.82640709,54.82754863,-43.70133616,-22.29573558,-20.17424677,-50.89535176,9,706,687,63.45614645,61.74840313,-37.16420412,-41.39248466,-57.9446194,-8.725947663,,,,,,,,,
112,3918.3,10,770,603,69.20854499,54.19838004,-41.45044177,-25.25165367,130.7693442,-102.6054867,9,694,672,62.37757172,60.40018472,-39.79467898,-39.11802129,-80.15938188,84.35301628,,,,,,,,,
113,3951,11,754,595,67.77044536,53.47933022,-37.64252177,-28.35299169,139.7625525,-137.3788106,9,681,655,61.20911577,58.87220386,-41.82237917,-35.84660344,-138.723026,139.9417812,,,,,,,,,
114,3983,10,741,584,66.6019894,52.49063672,-37.86036653,-30.71410905,143.6619767,-127.0829458,9,664,643,59.6811349,57.79362913,-45.11087708,-35.07842334,-110.0611514,142.2156162,,,,,,,,,
115,4018.8,10,731,569,65.70317713,51.14241831,-32.34569775,-33.30439689,50.4195914,-57.64810986,9,645,633,57.97339159,56.89481686,-47.24874912,-31.43648426,-68.18032231,68.51339228,,,,,,,,,
116,4050.6,11,720,556,64.71448363,49.97396236,-30.2164348,-35.62734738,9.355659747,-8.692588716,9,627,623,56.3555295,55.99600459,-49.6074239,-28.41249556,-17.60317339,9.337493417,,,,,,,,,
117,4082.5,10,707,543,63.54602768,48.80550641,-28.84347345,-36.49584665,37.58210533,10.86711479,9,608,612,54.64778618,55.00731109,-50.46027027,-27.9333639,2.535660119,1.403668994,,,,,,,,,
118,4118.2,10,698,529,62.73709663,47.54716922,-29.28849314,-35.596103,11.09357991,11.53732311,9,589,602,52.94004286,54.10849881,-50.01349695,-27.93370079,12.55159327,1.965148442,,,,,,,,,
119,4150.3,11,687,516,61.74840313,46.37871327,-29.22862685,-35.97092623,10.45994603,1.800334944,9,571,592,51.32218077,53.20968654,-50.35929672,-27.87746783,2.520468922,1.395259582,,,,,,,,,
120,4182.5,9,677,503,60.84959086,45.21025731,-27.86318045,-35.95249091,-17.97624545,0,10,552,581,49.61443745,52.22099304,-49.88408113,-27.41377432,8.988122727,8.988122727,,,,,,,,,
121,4218.3,9,666,490,59.86089736,44.04180136,-29.22749309,-35.97333732,-9.87479763,-19.07447236,10,534,571,47.99657536,51.32218077,-49.91061004,-27.87724458,-10.4959107,-0.837152397,,,,,,,,,
122,4250.5,10,655,476,58.87220386,42.78346418,-29.21343019,-35.50157116,-10.15661931,7.568029608,9,515,561,46.28883204,50.4233685,-49.88268258,-27.86340336,6.992787452,-1.114531676,,,,,,,,,
123,4282.5,9,645,463,57.97339159,41.61500822,-29.22647635,-36.42057518,-9.289672518,-9.361685483,10,497,551,44.67096995,49.52455622,-49.90951049,-27.42795164,-9.496709793,-9.271669276,,,,,,,,,
124,4318.1,9,633,449,56.89481686,40.35667104,-28.71266039,-36.33397745,20.1920861,11.84721512,10,478,540,42.96322663,48.53586272,-49.78967985,-27.36350918,12.91936128,11.13245101,,,,,,,,,
125,4350.3,9,622,437,55.90612336,39.27809632,-28.79264243,-36.43570656,18.5892396,-26.28817783,10,460,530,41.34536454,47.63705045,-49.9332146,-27.89112742,-8.00545333,0.558939309,,,,,,,,,
126,4382.4,9,612,422,55.00731109,37.92987791,-28.80431346,-36.90668168,17.74138211,-0.370176421,10,441,520,39.63762122,46.73823818,-50.4091262,-27.905052,-0.505606818,-0.279889489,,,,,,,,,
127,4418.7,9,602,409,54.10849881,36.76142195,-28.42376434,-37.15714588,-14.44862585,-28.21239255,10,423,510,38.01975913,45.83942591,-50.91058024,-28.46951056,-35.20366313,-33.12054985,,,,,,,,,
128,4450.3,8,591,395,53.11980531,35.50308477,-27.86318045,-37.30070932,-7.22E-13,8.988122727,10,404,499,36.31201582,44.85073241,-50.33348727,-27.86318045,-6.66E-13,7.22E-13,,,,,,,,,
129,4482.2,8,581,381,52.22099304,34.24474759,-27.84960359,-36.83334669,1.391080058,1.83981556,11,385,489,34.6042725,43.95192013,-50.30896133,-27.40266124,2.512918814,10.34784069,,,,,,,,,
130,4514.4,8,571,368,51.32218077,33.07629163,-28.92848597,-38.11868523,3.900629455,8.117526163,11,367,478,32.98641041,42.96322663,-51.46511587,-28.96976939,23.61462157,22.66581981,,,,,,,,,
131,4550.3,8,560,354,50.33348727,31.81795445,-27.87713296,-36.8697565,-0.27905024,-0.369066447,11,348,468,31.27866709,42.06441436,-50.35869181,-28.327214,-0.504090757,-9.280670897,,,,,,,,,
132,4582.5,8,550,340,49.434675,30.55961727,-27.79776377,-36.62671518,-0.357384554,2.280453823,12,329,459,29.57092377,41.25548332,-49.01411354,-28.19891176,23.30657844,-26.22521897,,,,,,,,,
133,4614.5,7,539,326,48.4459815,29.30128009,-28.3117444,-37.75019095,8.421879417,-0.755003064,12,311,447,27.95306168,40.17690859,-50.33358794,-28.31354203,-1.006670752,-9.554384013,,,,,,,,,
134,4650.2,7,529,313,47.54716922,28.13282413,-28.11223401,-37.47825113,-4.427677472,-11.81300829,11,292,436,26.24531836,39.18821509,-49.98991172,-28.12641667,7.887075577,13.3006375,,,,,,,,,
135,4685.9,7,518,298,46.55847572,26.78460573,-28.86154908,-38.36330505,-20.21873365,-35.87019979,12,274,425,24.62745627,38.19952159,-50.57083124,-29.21783024,-53.41717221,6.516931115,,,,,,,,,
136,4714.4,7,508,284,45.65966345,25.52626854,-28.71479163,-38.14054316,-16.49089302,-7.059855992,11,255,415,22.91971295,37.30070932,-50.25872647,-29.16577058,2.505398831,-7.50724864,,,,,,,,,
137,4751.7,7,497,270,44.67096995,24.26793136,-28.75969775,-38.64584385,-8.330228605,-11.19374469,12,236,405,21.21196963,36.40189704,-50.79186382,-28.78574273,-23.6890876,-26.29228403,,,,,,,,,
138,4782.3,7,486,255,43.68227645,22.91971295,-28.84143296,-38.90687056,20.63608054,24.59290699,10,217,394,19.50422632,35.41320354,-51.71742751,-29.68575346,29.62886793,-16.22488167,,,,,,,,,
139,4814.8,7,475,241,42.69358295,21.66137577,-28.70123135,-38.5720915,16.76101804,-1.536724468,10,199,382,17.88636423,34.33462882,-50.23342149,-30.05214082,-2.001315587,-10.14952905,,,,,,,,,
140,4850.3,8,465,227,41.79477068,20.40303859,-28.50790069,-39.35179148,13.43767398,-3.125679964,10,179,372,16.08873968,33.43581654,-50.68223011,-30.30383253,25.91289519,-4.5006125,,,,,,,,,
141,4882.5,8,455,213,40.89595841,19.14470141,-27.84938102,-38.63248033,-0.834644699,-19.11605602,10,161,360,14.47087759,32.35724182,-49.85802883,-30.54448241,7.484878271,-0.915416767,,,,,,,,,
142,4914.8,8,444,198,39.90726491,17.796483,-27.86318045,-39.09833386,-7.22E-13,-8.988122727,10,143,348,12.8530155,31.27866709,-50.33348727,-30.11021113,0,8.988122727,,,,,,,,,
143,4950.4,8,434,183,39.00845263,16.44826459,-27.87724458,-39.56770199,-0.837152397,-1.188216306,10,124,338,11.14527218,30.37985482,-49.91061004,-31.026025,-10.4959107,-9.928807462,,,,,,,,,
144,4982.4,9,424,169,38.10964036,15.18992741,-26.9961701,-37.76972771,17.91594439,36.38838058,9,106,326,9.52741009,29.30128009,-47.59783976,-28.80001857,37.76415198,35.83961783,,,,,,,,,
