frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
79,2783.5,8,873,371,78.4663114,33.34593532,-45.8535482,18.87081628,9.272504637,-14.4038907,9,756,778,67.95020781,69.92759481,-32.39637438,-29.68100512,-24.15352422,-5.644524668,,,,,,,,,
80,2814.4,9,856,377,76.93833054,33.88522268,-46.08118045,19.41801315,22.81133629,7.117136924,9,743,767,66.78175186,68.93890131,-32.52148344,-29.81135982,3.284832426,3.011096391,,,,,,,,,
81,2850.3,10,840,385,75.5002309,34.6042725,-45.43644689,19.34294582,9.916665161,8.61848354,9,731,756,65.70317713,67.95020781,-32.84045386,-30.13951127,9.664240957,-8.402119937,,,,,,,,,
82,2882.5,9,823,391,73.97225004,35.14355986,-45.21334927,19.87931831,3.660807266,34.77766903,9,719,745,64.6246024,66.96151431,-32.56088916,-30.28930517,20.82999335,-6.644365189,,,,,,,,,
83,2914.4,9,806,399,72.44426918,35.86260968,-44.67426823,19.5221035,5.326908011,-5.035329888,9,707,734,63.54602768,65.97282081,-31.81782229,-29.9840642,10.78839054,-6.465184144,,,,,,,,,
84,2950.3,9,790,407,71.00616954,36.5816595,-45.48165649,19.74286971,-10.82085715,-0.620005869,9,695,722,62.46745295,64.89424609,-32.1735797,-30.56488147,3.67324232,-0.105284016,,,,,,,,,
85,2982.3,10,773,415,69.47818868,37.30070932,-44.93361128,20.4943983,1.945164484,-22.45141657,9,684,711,61.47875945,63.90555259,-31.97872441,-30.88164461,-9.16336522,-5.226164818,,,,,,,,,
86,3050.3,9,739,428,66.42222695,38.46916527,-44.49376022,19.44213889,-2.670425081,3.85851441,9,660,688,59.32161,61.83828436,-31.17378124,-30.37961292,-1.310229353,0.644011038,,,,,,,,,
87,3082.6,9,722,436,64.89424609,39.18821509,-45.01901449,19.76549294,17.81468943,0.962004961,9,648,677,58.24303527,60.84959086,-31.69738976,-30.59978404,3.525396228,-0.422343641,,,,,,,,,
88,3114.7,9,707,443,63.54602768,39.81738368,-43.3599788,19.23137936,21.82571877,3.372580504,9,636,665,57.16446054,59.77101613,-30.89672228,-29.82373313,25.50780824,21.20670083,,,,,,,,,
