frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
195,6912.2,10,483,507,43.41263277,45.56978222,11.69478821,38.18051961,-54.75388084,-47.89844404,9,604,617,54.28826127,55.45671722,-21.1267782,-22.90831176,64.47695133,28.73906642,,,,,,,,,
196,6944.4,10,488,522,43.86203891,46.91800063,3.13304846,32.33300621,-224.4471783,-161.3014969,9,596,608,53.56921145,54.64778618,-12.56631459,-17.51135467,215.3738008,134.5121479,,,,,,,,,
197,6976.7,11,493,537,44.31144504,48.26621904,-4.64120992,28.76639703,-342.7107584,-248.3609653,9,586,598,52.67039918,53.74897391,-5.438969675,-13.00777795,374.0054965,240.9509727,,,,,,,,,
198,7012.7,10,493,547,44.31144504,49.16503131,-11.42632903,23.54503798,-405.3678554,-243.3549217,9,584,593,52.49063672,53.29956777,2.519575371,-8.351248571,406.0972491,260.9537334,,,,,,,,,
199,7044.4,10,479,549,43.05310786,49.34479377,-20.01545795,17.08159283,-238.52295,-143.7267707,9,594,596,53.389449,53.56921145,10.72510399,-2.696327354,250.4545707,161.7883984,,,,,,,,,
200,7112.2,11,451,555,40.5364335,49.88408113,-31.27659698,8.941489839,-50.43148606,-44.257591,9,616,603,55.366836,54.19838004,23.67925622,5.954787408,55.78381555,38.93929086,,,,,,,,,
201,7144.6,11,437,558,39.27809632,50.15372481,-37.37170504,7.217856405,11.95805993,-4.214169652,9,627,606,56.3555295,54.46802372,29.06517334,8.798588614,-3.586286657,-0.910713173,,,,,,,,,
202,7182.4,11,423,560,38.01975913,50.33348727,-38.48352888,7.41854917,-29.13025188,3.682659684,9,637,609,57.25434177,54.7376674,30.53486055,9.074391778,36.64335053,8.80173398,,,,,,,,,
203,7223,11,409,563,36.76142195,50.60313095,-38.38751973,7.31190852,-77.92452025,14.84276576,9,649,613,58.3329165,55.09719231,30.16162265,8.589706629,61.22640877,8.622427937,,,,,,,,,
204,7247.3,11,395,566,35.50308477,50.87277463,-37.82622605,6.729922406,-20.80949144,-5.28795302,9,660,616,59.32161,55.366836,30.19567922,9.006244298,25.60198038,4.954640819,,,,,,,,,
