frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
71,2550.3,8,860,209,77.29785545,18.7851765,-35.12341575,35.20798434,-5.542838647,24.98657927,9,809,816,72.71391286,73.34308145,-32.42161454,-27.82009562,-5.116466443,-2.447259634,,,,,,,,,
72,2582.1,9,847,223,76.12939949,20.04351368,-34.47215232,35.54970212,11.63052627,-8.05577577,9,797,806,71.63533813,72.44426918,-32.07864624,-27.809755,5.571911574,1.068509147,,,,,,,,,
73,2618.1,8,834,236,74.96094354,21.21196963,-34.74084724,35.81898348,21.75176533,-18.48222428,9,785,796,70.5567634,71.5454569,-32.58887795,-28.28063618,9.447223103,3.681762979,,,,,,,,,
74,2682,9,808,263,72.62403163,23.63876277,-34.57947453,35.67633452,13.80314567,-17.87420002,9,761,775,68.39961395,69.65795113,-32.89084749,-28.29419818,-2.009318673,-4.75247547,,,,,,,,,
75,2718.2,8,796,276,71.5454569,24.80721873,-34.03388305,35.10262834,-5.190125553,1.48599206,9,749,764,67.32103922,68.66925763,-32.17962148,-27.96881107,-7.055750621,-3.405850415,,,,,,,,,
76,2756,8,783,289,70.37700095,25.97567468,-33.94706052,34.50037095,-10.23926752,-0.641960346,9,736,753,66.15258327,67.68056413,-31.35911989,-27.66455838,8.388281859,5.253375501,,,,,,,,,
77,2782.8,8,770,302,69.20854499,27.14413063,-33.80038048,34.68986417,1.655069744,-1.698624211,9,724,743,65.07400854,66.78175186,-32.02581426,-28.4634783,19.17267635,1.393742942,,,,,,,,,
78,2820.4,8,757,316,68.04008904,28.40246782,-34.69207664,35.59373241,-7.690375142,8.12465515,9,712,732,63.99543381,65.79305836,-32.41626664,-28.85298469,2.424730045,-13.89696026,,,,,,,,,
79,2857.7,8,744,328,66.87163309,29.48104254,-34.88591438,35.83736023,-8.223935337,26.93476808,9,701,722,63.00674031,64.89424609,-32.21052563,-28.58369104,-25.13175765,-23.32874722,,,,,,,,,
80,2884.1,8,732,341,65.79305836,30.6494985,-34.25700664,35.62326179,-10.67039378,20.12700761,9,689,711,61.92816559,63.90555259,-32.0172611,-28.84800559,-19.00380827,-8.985594758,,,,,,,,,
