frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
157,5543,12,828,840,74.42165618,75.5002309,-39.23076178,-31.91685125,-15.30519429,-16.18359959,9,536,178,48.17633781,15.99885845,-2.184101253,45.73712058,7.411181119,12.37911572,,,,,,,,,
158,5577.1,12,813,827,73.07343777,74.33177495,-39.12534091,-30.84280076,-11.67119184,3.221969948,9,536,195,48.17633781,17.52683932,-1.880021718,45.04479817,1.509594311,1.53212557,,,,,,,,,
159,5609.1,12,798,816,71.72521936,73.34308145,-38.64092441,-32.35957162,13.33885433,-3.883008806,9,534,212,47.99657536,19.05482018,-2.241799406,44.94384947,8.718792921,5.393067786,,,,,,,,,
160,5641.9,12,784,804,70.46688218,72.26450672,-39.53319905,-32.71713025,9.189172635,1.55E-12,8,534,229,47.99657536,20.58280104,-1.36321376,45.89486327,9.189172635,-9.189172635,,,,,,,,,
161,5676.7,12,769,793,69.11866377,71.27581322,-39.19785693,-32.43306441,10.21504684,-35.15497503,8,534,245,47.99657536,22.02090068,-2.251317537,45.05345051,-8.965333663,-1.358383888,,,,,,,,,
162,5708.5,12,756,780,67.95020781,70.10735727,-38.64092441,-32.80361705,-13.33885433,-5.051506827,8,532,262,47.81681291,23.54888154,-1.353708552,44.49980405,9.150238344,-14.32758342,,,,,,,,,
163,5740.8,12,741,768,66.6019894,69.02878254,-38.82694454,-32.50627915,5.093021672,4.26392512,8,533,279,47.90669413,25.07686241,-1.348532829,44.7020293,-8.892288285,-14.93284887,,,,,,,,,
164,5776.6,11,726,755,65.253771,67.86032659,-38.09005109,-32.72028432,11.96324824,29.40482684,7,531,295,47.72693168,26.51496204,-1.799452474,44.8076203,18.01168127,-3.563141696,,,,,,,,,
165,5809.1,11,712,743,63.99543381,66.78175186,-38.94108933,-32.67442017,7.371360839,7.620033253,8,531,311,47.72693168,27.95306168,-1.344641015,43.86668416,-8.969969214,1.740706897,,,,,,,,,
166,5841,11,698,732,62.73709663,65.79305836,-38.25469173,-33.31314225,6.329190102,-20.36897699,8,531,328,47.72693168,29.48104254,-2.253616933,44.10904721,-9.173262688,3.096879037,,,,,,,,,
167,5877.3,11,684,720,61.47875945,64.71448363,-38.24986926,-32.86531567,-15.13739266,-32.28529072,8,530,345,47.63705045,31.00902341,-0.899827386,44.07713118,-0.144251508,-10.9450832,,,,,,,,,
168,5909.3,12,669,707,60.13054104,63.54602768,-37.59036855,-32.68830573,19.58913392,-7.897190115,9,529,360,47.54716922,32.35724182,-0.910248594,43.32445162,17.64047662,-12.56371155,,,,,,,,,
169,5940.5,12,656,694,58.96208509,62.37757172,-36.35883224,-31.50567431,31.77853841,56.69999081,9,528,377,47.457288,33.88522268,-1.084986398,41.20202711,32.6633237,-61.52944386,,,,,,,,,
170,5976.4,12,641,682,57.61386668,61.298997,-38.0366898,-33.99813408,19.43970267,9.42316339,9,529,393,47.54716922,35.32332232,-1.329570715,43.37989445,-8.528671376,-3.126293869,,,,,,,,,
171,6012.5,12,627,669,56.3555295,60.13054104,-38.10995508,-32.63512804,-29.65864032,8.927765459,9,529,409,47.54716922,36.76142195,-0.472578751,43.43769363,-9.158502936,14.75832401,,,,,,,,,
172,6055,11,612,658,55.00731109,59.14184754,-38.54607472,-33.55485285,-69.98364721,-92.4935023,10,529,425,47.54716922,38.19952159,-0.208173848,42.70583882,-17.34782065,87.79689719,,,,,,,,,
173,6078.3,11,599,644,53.83885513,57.88351036,-38.13967147,-32.698289,-21.46093278,16.08900699,10,527,442,47.36740677,39.72750245,-0.404246786,43.0292019,26.69008314,-3.75677867,,,,,,,,,
174,6110.2,12,584,634,52.49063672,56.98469809,-38.34487009,-32.39060408,24.84973515,-3.922157289,10,528,457,47.457288,41.07572086,-0.912620162,42.45907248,0.150490448,-34.79151034,,,,,,,,,
175,6145.5,11,570,620,51.23229954,55.7263609,-37.45921707,-23.49540459,94.00260066,314.8017511,10,528,472,47.457288,42.42393927,-3.720282562,33.12768576,-60.26784155,-299.4687878,,,,,,,,,
176,6176.9,11,556,609,49.97396236,54.7376674,-32.69729964,-8.887707754,131.8538707,466.8842435,10,528,489,47.457288,43.95192013,-5.36003663,17.97089992,-127.2132037,-504.5252088,,,,,,,,,
177,6209.5,10,543,598,48.80550641,53.74897391,-29.1273343,1.127507471,160.8005327,679.0100032,9,527,502,47.36740677,45.12037609,-8.506462815,7.692879614,-153.0979759,-665.4339249,,,,,,,,,
178,6240.9,12,535,611,48.08645659,54.91742986,-27.24542442,13.8722003,120.1230314,468.5861921,10,521,492,46.82811941,44.22156381,-11.47839853,-3.841451315,-102.3760992,-475.5655325,,,,,,,,,
179,6276.7,11,527,625,47.36740677,56.17576704,-23.82770393,26.46663811,45.89353822,241.6196816,10,515,481,46.28883204,43.23287031,-14.37032562,-17.9332461,-53.35370992,-214.9967556,,,,,,,,,
180,6313.3,12,519,640,46.64835695,57.52398545,-21.7224791,38.01433842,-18.12509534,31.71891685,10,508,471,45.65966345,42.33405804,-16.21660242,-29.52874247,4.540372779,-51.74569137,,,,,,,,,
181,6343.1,11,511,654,45.92930713,58.78232263,-20.67387458,38.72865057,8.478726877,17.84140613,10,502,460,45.12037609,41.34536454,-16.17054311,-29.29237958,10.55330899,-22.49568599,,,,,,,,,
182,6376.9,11,503,668,45.21025731,60.04065981,-20.2092198,39.08031702,26.33169406,10.1503565,10,496,449,44.58108872,40.35667104,-15.71738415,-29.19827859,26.46631418,-9.854192257,,,,,,,,,
183,6408.8,12,495,682,44.4912075,61.298997,-20.32755859,39.95721634,47.33809035,8.969625973,10,491,437,44.13168259,39.27809632,-16.07921638,-30.40483723,-1.663178235,33.39815716,,,,,,,,,
184,6440.7,11,489,697,43.95192013,62.6472154,-20.02043079,38.73492642,4.911514607,-17.71280268,10,485,427,43.59239522,38.37928404,-15.5645985,-29.40849314,1.863588876,20.11630983,,,,,,,,,
185,6476.8,12,482,712,43.32275154,63.99543381,-19.43259766,39.77458283,-10.78370345,3.748859011,10,480,416,43.14298909,37.39059054,-14.97423831,-30.29912797,-11.58851968,-12.1848343,,,,,,,,,
186,6508.9,13,475,727,42.69358295,65.34365222,-18.59159689,39.97625317,-12.65354102,-8.58926972,9,473,405,42.5138205,36.40189704,-15.82562662,-29.62289904,6.729906734,-17.7750165,,,,,,,,,
187,6545.3,12,466,741,41.88465191,66.6019894,-19.25243092,38.50088702,9.772995432,13.23786189,9,467,394,41.97453313,35.41320354,-15.35916787,-29.34796167,2.064339043,-18.95892047,,,,,,,,,
188,6640.5,12,445,785,39.99714613,70.5567634,-18.70746712,38.29801361,19.64296485,-21.78880068,9,451,359,40.5364335,32.26736059,-15.93310986,-30.56285637,-0.12646561,8.96274014,,,,,,,,,
189,6673.7,12,439,799,39.45785877,71.81510059,-19.18496303,38.93085238,5.452495705,-4.097633136,9,445,348,39.99714613,31.27866709,-15.85651511,-30.7968862,-7.104767131,3.527599494,,,,,,,,,
