frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
83,3079.1,8,697,192,62.6472154,17.25719564,-25.0500427,45.61138707,18.98517062,-39.89028254,9,791,799,71.09605077,71.81510059,-34.79172597,-32.00838789,26.36829252,24.25882912,,,,,,,,,
84,3114.7,8,689,208,61.92816559,18.69529527,-24.1782099,42.95587334,-14.19419528,7.420628045,9,778,788,69.92759481,70.82640709,-33.55927605,-31.2178923,-5.79736566,-10.40159606,,,,,,,,,
85,3178.7,8,670,241,60.22042227,21.66137577,-23.82281235,41.66915198,17.51957516,-34.2670752,9,753,765,67.68056413,68.75913886,-32.63808371,-30.52975437,23.85750522,16.07529534,,,,,,,,,
86,3215.3,7,661,257,59.41149122,23.09947541,-23.5737155,43.11307252,2.693642899,3.204312699,9,741,753,66.6019894,67.68056413,-33.20394061,-31.04730797,-3.052795286,-10.14605492,,,,,,,,,
87,3247.1,7,652,272,58.60256018,24.44769382,-24.0958973,43.73558394,15.437588,4.35747767,9,728,741,65.43353345,66.6019894,-33.51422061,-31.61569904,6.477961457,4.3924307,,,,,,,,,
88,3284.7,7,643,288,57.79362913,25.88579345,-23.64074711,42.49688781,-14.08438183,49.88473242,9,716,730,64.35495872,65.6132959,-33.06881746,-31.77186593,-31.98455713,-39.51136254,,,,,,,,,
89,3315,7,635,305,57.07457931,27.41377432,-23.41599801,43.22953479,0.470198403,-0.86805859,9,704,718,63.276384,64.53472118,-33.3227664,-31.52153578,0.669128496,0.632959388,,,,,,,,,
90,3347.3,8,626,321,56.26564827,28.85187395,-23.38110205,43.61249876,-1.170217714,-6.814267764,9,691,706,62.10792804,63.45614645,-32.82122089,-31.47456045,7.354368247,-1.575293076,,,,,,,,,
91,3380.8,7,617,336,55.45671722,30.20009236,-23.74910763,44.33414876,11.82922003,-11.64829241,9,679,694,61.02935331,62.37757172,-34.2405454,-33.05169436,7.598959991,12.87601554,,,,,,,,,
92,3414.9,8,609,353,54.7376674,31.72807322,-23.44199922,43.19797775,-0.990743029,0.236285994,9,667,683,59.95077859,61.38887822,-33.31998848,-31.99411336,-0.613514512,-10.09397187,,,,,,,,,
93,3447,8,600,369,53.92873636,33.16617286,-22.92364308,42.60270084,10.3469273,-13.44246073,9,655,671,58.87220386,60.3103035,-32.48287364,-31.33391494,-0.567061331,4.396667308,,,,,,,,,
94,3546.6,8,575,416,51.68170568,37.39059054,-22.82884641,42.11034665,-0.728360854,-15.17682345,9,617,635,55.45671722,57.07457931,-32.94836831,-31.2400098,7.988218496,8.977839221,,,,,,,,,
95,3579.2,8,566,432,50.87277463,38.82869018,-22.05816056,42.64956308,17.83600971,-6.912057962,9,606,623,54.46802372,55.99600459,-33.44120144,-31.60065515,-0.861993242,14.88348145,,,,,,,,,
96,3618.3,9,558,448,50.15372481,40.26678982,-24.58657683,38.72081764,-29.76238275,-31.88016862,9,593,612,53.29956777,55.00731109,-32.53178927,-28.99328249,-0.004049304,22.93120728,,,,,,,,,
97,3648.8,9,549,463,49.34479377,41.61500822,-27.40866156,24.66334104,-88.89620188,-326.2518578,9,580,600,52.13111181,53.92873636,-27.95588831,-14.79878427,89.7119772,312.7682572,,,,,,,,,
98,3681.2,10,542,480,48.71562518,43.14298909,-27.99719561,17.59254476,-134.2876774,-484.4020269,10,568,588,51.05253709,52.85016163,-26.26741855,-7.603403585,141.524403,455.6508629,,,,,,,,,
99,3715,10,530,488,47.63705045,43.86203891,-32.02346473,9.922026416,-124.0512243,-563.7515009,9,558,582,50.15372481,52.31087427,-24.53571039,-0.811691495,165.3831366,559.9352041,,,,,,,,,
100,3778.8,10,501,468,45.03049486,42.06441436,-35.89716051,-12.88846019,-41.69608971,-251.4681611,9,548,608,49.25491254,54.64778618,-17.03994007,21.68907001,78.22568796,248.5833471,,,,,,,,,
101,3814.9,9,487,458,43.77215768,41.16560209,-38.7475635,-21.59106157,-26.52560443,-101.740177,9,543,622,48.80550641,55.90612336,-14.84342152,29.62970932,29.3656049,101.3141769,,,,,,,,,
102,3846.9,9,471,448,42.33405804,40.26678982,-39.29821391,-27.58597528,13.74418595,-4.982414121,9,538,635,48.35610027,57.07457931,-13.53774,36.00263483,1.379113449,-1.719490386,,,,,,,,,
103,3882.7,9,457,438,41.07572086,39.36797754,-39.22079446,-27.68397855,-22.28146464,-33.33488714,9,533,648,47.90669413,58.24303527,-12.89946149,35.65526769,1.475535864,20.25587694,,,,,,,,,
104,3915.8,9,442,428,39.72750245,38.46916527,-40.74414562,-28.45014875,-13.04985872,-34.21794352,9,528,661,47.457288,59.41149122,-13.25953562,36.69553175,2.029556517,38.74176809,,,,,,,,,
105,3947,9,428,417,38.46916527,37.48047177,-39.50823177,-27.83534511,-17.94034682,-7.19E-13,9,523,675,47.00788186,60.6698284,-13.0197582,35.91657433,8.97017341,0,,,,,,,,,
106,3980.8,9,413,406,37.12094686,36.49177827,-40.72944379,-28.83254643,-8.475912012,9.918620439,9,519,688,46.64835695,61.83828436,-12.81405083,37.06828641,0.265762079,8.551844034,,,,,,,,,
107,4011.4,8,398,396,35.77272845,35.592966,-40.95679927,-29.02567891,8.601037692,22.17756356,9,514,702,46.19895081,63.09662154,-13.33213683,37.31307764,-3.548410169,-25.82239791,,,,,,,,,
108,4047.1,8,383,386,34.42451004,34.69415372,-40.44663316,-27.86323618,-0.808931854,-0.557264166,9,509,715,45.74954468,64.2650775,-12.58339698,36.40286866,-0.251667688,9.716170384,,,,,,,,,
109,4079.1,8,368,375,33.07629163,33.70546022,-40.72027058,-28.05174196,8.66254892,5.9675337,9,505,729,45.39001977,65.52341468,-13.11141359,36.21492106,-6.315869001,-25.91431301,,,,,,,,,
110,4111.2,8,353,365,31.72807322,32.80664795,-40.44687584,-28.31101546,1.617868562,-7.855650686,9,499,742,44.85073241,66.69187063,-12.58706775,35.95277853,18.47965424,-1.438105389,,,,,,,,,
111,4147,8,338,355,30.37985482,31.90783568,-39.90150547,-28.23953991,11.72239925,-6.976344149,9,495,756,44.4912075,67.95020781,-12.55229783,36.31513466,0.874273308,-11.47260687,,,,,,,,,
112,4179.5,8,323,344,29.03163641,30.91914218,-39.78345343,-28.2678577,9.999147276,-10.27262823,9,490,768,44.04180136,69.02878254,-12.39967247,35.34047165,20.49397878,8.495002045,,,,,,,,,
113,4211.4,8,308,333,27.683418,29.93044868,-40.44687584,-29.21343019,-1.617868562,-10.15661931,9,486,782,43.68227645,70.28711972,-12.13586038,35.95277853,-9.473519248,1.438105389,,,,,,,,,
114,4247.6,8,294,323,26.42508082,29.03163641,-39.03879844,-28.61483131,5.428833975,-0.484717319,9,481,796,43.23287031,71.5454569,-11.75250217,34.7465571,15.0262369,-19.71183765,,,,,,,,,
115,4282.5,7,278,311,24.98698118,27.95306168,-40.51942165,-29.23703809,-24.28979217,-8.546408358,9,477,809,42.87334541,72.71391286,-11.7056107,36.44049082,-7.017051073,12.86459363,,,,,,,,,
116,4311.2,7,263,300,23.63876277,26.96436818,-40.50733355,-29.25574721,0.406291193,9.308582675,9,472,822,42.42393927,73.88236881,-11.7030201,36.45614944,18.1476733,8.649488073,,,,,,,,,
117,4354.3,7,248,289,22.29054436,25.97567468,-41.41497339,-29.95481247,-49.96819589,-24.63208046,9,468,836,42.06441436,75.14070599,-11.85132321,36.46560988,-16.87855254,51.93400781,,,,,,,,,
118,4379.5,7,233,279,20.94232595,25.07686241,-41.16042993,-30.16012665,11.07312659,-10.48634553,9,464,849,41.70488945,76.30916195,-11.89079087,36.58704882,3.198903238,-9.842779194,,,,,,,,,
119,4411.1,7,218,268,19.59410754,24.08816891,-40.42652084,-29.19558484,1.211581015,-8.10413079,9,460,863,41.34536454,77.56749913,-11.22824225,35.93737894,-8.642611241,-19.03528395,,,,,,,,,
