frame_no,timestamp,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,115.0,,,,,,,,,,,,,,,,,,,46,190,563,,,,,,,,,,,,,,,
1,115.0,,,,,,,,,,,,,,,,,,,40,39,479,,,,,,,,,,,,,,,
2,211.8,,,,,,,,,,,,,,,,,,,59,810,557,,,,,,,,,,,,,,,
3,235.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,576,413,40.7897351374289,29.246806617635652,,,,
4,255.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,576,413,40.7897351374289,29.246806617635652,,,,
5,268.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,575,413,40.71891962503753,29.246806617635652,,,,
6,283.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,575,413,40.71891962503753,29.246806617635652,-0.9437610701986373,-0.1481046999656696,23.216754494431434,-6.249143458467068
7,293.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,576,413,40.7897351374289,29.246806617635652,0.0,0.0,0.0,0.0
8,350.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,576,413,40.7897351374289,29.246806617635652,0.5338730353719803,0.0,-8.257896912172935,0.0
9,411.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,576,412,40.7897351374289,29.175991105244282,0.24045793719882208,0.1586269063835749,-4.813972716693136,11.015757387748259
10,447.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,576,413,40.7897351374289,29.246806617635652,0.0,0.0,0.0,0.0
11,479.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,576,413,40.7897351374289,29.246806617635652,0.398177316487031,0.0,6.158968545816411,0.0
12,511.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,576,413,40.7897351374289,29.246806617635652,0.0,0.3549633762505765,0.0,-7.08509733035083
13,547.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,576,413,40.7897351374289,29.246806617635652,-0.3274405055788612,0.0,-6.535738634308608,0.0
14,579.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,577,413,40.86055064982027,29.246806617635652,-7.544060256782278e-16,0.0,-14.106619573501675,0.0
15,611.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,576,413,40.7897351374289,29.246806617635652,0.0,0.0,0.0,0.0
16,652.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,575,413,40.71891962503753,29.246806617635652,0.07433800086272625,0.0,14.15961921194784,0.0
17,679.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,576,413,40.7897351374289,29.246806617635652,-0.3526640786755848,0.0,7.067416406324339,0.0
18,711.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,576,413,40.7897351374289,29.246806617635652,0.0,0.0,0.0,0.0
