frame_no,timestamp,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,129.3,,,,,,,,,,,,,,,,,,,25,306,226,21.669546791759103,16.004305800449533,,,,,,,,,,,,,
1,129.3,,,,,,,,,,,,,,,,,,,50,39,739,,,,,,,,,,,,,,,
2,235.6,,,,,,,,,,,,,,,,,,,43,810,569,,,,,,,,,,,,,,,
3,262.0,,,,,,,,,,,,,,,,,,,48,810,564,57.36056503700939,39.93994898873247,,,,,,,,,,,,,
4,278.2,25,554,385,39.23179386481877,27.263972270677304,,,,,,,,,,,,,,,,,,,,,,,12,552,380,39.09016284003603,26.909894708720454,,,,
5,297.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,555,386,39.30260937721014,27.334787783068673,,,,
6,313.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,554,386,39.23179386481877,27.334787783068673,,,,
7,325.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,554,386,39.23179386481877,27.334787783068673,2.6920200770932263,0.3107657024577603,-13.98000842610033,-373.0826491086598
8,335.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,554,386,39.23179386481877,27.334787783068673,0.7394054682314014,-3.053162786280822,139.51046570403847,-162.40227586600133
9,344.0,7,569,402,40.29402655068931,28.467835981330587,,,,,,,,,,,,,,,,,,,,,,,22,555,385,39.30260937721014,27.263972270677304,1.3264050610057918,-2.0849323877917074,-65.99030154257672,16.087187938240117
10,353.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,555,384,39.30260937721014,27.193156758285934,1.7254398317227557,-2.7670858963469653,-54.089022938017415,156.33253651677757
11,362.2,13,569,397,40.29402655068931,28.113758419373738,,,,,,,,,,,,,,,,,,,,,,,22,555,384,39.30260937721014,27.193156758285934,1.9977701674921442,-3.7999931986102213,-46.29826575879824,107.08150458234216
12,384.2,8,574,395,40.64810411264616,27.972127394591,,,,,,,,,,,,,,,,,,,,,,,22,555,384,39.30260937721014,27.193156758285934,0.0,-0.8750669050268666,0.0,44.10512463712516
13,417.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,555,386,39.30260937721014,27.334787783068673,0.0,1.351020026006094,0.0,-27.238306975929323
14,448.5,7,572,398,40.50647308786342,28.184573931765108,1.9770587890084441,-0.8694823393399967,-11.232036693976465,-39.16700031188504,,,,,,,,,,,,,,,,,,,22,555,385,39.30260937721014,27.263972270677304,0.0,0.4406621769538416,0.0,-8.804439099976854
15,486.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,555,386,39.30260937721014,27.334787783068673,0.0,0.30162483366111037,0.0,-21.12286411587561
16,516.5,10,570,400,40.36484206308068,28.326204956547848,,,,,,,,,,,,,,,,,,,,,,,22,555,386,39.30260937721014,27.334787783068673,0.0,-0.3417988184160394,0.0,-6.891105210000796
17,548.6,10,574,394,40.64810411264616,27.90131188219963,,,,,,,,,,,,,,,,,,,,,,,22,555,385,39.30260937721014,27.263972270677304,0.0,0.3542545122626748,0.0,7.078012233020474
18,584.0,7,572,398,40.50647308786342,28.184573931765108,,,,,,,,,,,,,,,,,,,,,,,22,555,385,39.30260937721014,27.263972270677304,0.0,-0.368680549635423,0.0,7.358893206295866
19,618.6,12,570,399,40.36484206308068,28.255389444156478,-9.21766644121668,2.241257475805106,-180.56153655664403,57.48966141413683,,,,,,,,,,,,,,,,,,,22,555,385,39.30260937721014,27.263972270677304,0.0,0.029017529913112187,0.0,14.154892640542455
20,648.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,555,386,39.30260937721014,27.334787783068673,0.0,0.1281382905226347,0.0,-11.600336667821276
21,684.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,555,385,39.30260937721014,27.263972270677304,0.0,0.0,0.0,0.0
22,716.6,8,545,406,38.59445425329644,28.751098030896063,-7.054538358864556,2.1058471522831255,224.70700762505464,-60.253137404381306,,,,,,,,,,,,,,,,,,,23,555,386,39.30260937721014,27.334787783068673,0.0,0.30083530746902,0.0,-8.60759105776882
23,816.3,16,568,400,40.22321103829794,28.326204956547848,,,,,,,,,,,,,,,,,,,,,,,21,555,384,39.30260937721014,27.193156758285934,0.0,0.22841236988597047,0.0,12.796211198093616
24,848.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,555,385,39.30260937721014,27.263972270677304,0.0,-0.41744715936437965,0.0,-5.084618262659925
25,884.5,8,573,399,40.57728860025479,28.255389444156478,1.0297890107932794,0.5070854058454025,-128.4076941091781,41.208923629065964,,,,,,,,,,,,,,,,,,,22,555,385,39.30260937721014,27.263972270677304,0.21843790244106356,-0.42684586188737345,2.6020000290775895,-0.06043954802502972
26,948.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,555,386,39.30260937721014,27.334787783068673,0.0,0.0330869434481106,0.0,-15.755687356243008
27,1016.2,9,554,407,39.23179386481877,28.821913543287433,,,,,,,,,,,,,,,,,,,,,,,21,555,383,39.30260937721014,27.122341245894564,0.0,0.20963010875757818,0.0,12.558721577581943
28,1048.5,8,551,408,39.01934732764466,28.892729055678803,-1.0495089921930578,0.7137923264599042,103.05040138983253,-38.68810752401106,,,,,,,,,,,,,,,,,,,21,556,384,39.37342488960151,27.193156758285934,0.009778589024651913,-0.21837359743733106,-5.146625802448463,2.6027842364401805
29,1084.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,555,384,39.30260937721014,27.193156758285934,0.0,-0.5680864754962504,0.0,6.927883847515248
