frame_no,timestamp,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,128.7,,,,,,,,,,,,,,,,,,,61,221,813,15.650228238492685,57.5730115741835,,,,,,,,,,,,,
1,128.7,,,,,,,,,,,,,,,,,,,21,309,224,,,,,,,,,,,,,,,
2,236.0,,,,,,,,,,,,,,,,,,,60,47,744,,,,,,,,,,,,,,,
3,261.0,,,,,,,,,,,,,,,,,,,67,890,988,63.02580602831896,69.96572624267318,,,,,,,,,,,,,
4,277.9,19,564,406,39.93994898873247,28.751098030896063,,,,,,,,,,,,,,,,,,,,,,,21,558,392,39.51505591438425,27.75968085741689,,,,
5,289.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,559,394,39.58587142677562,27.90131188219963,,,,
6,299.3,8,207,4,14.658811065013511,0.28326204956547846,,,,,,,,,,,,,,,,,,,,,,,24,558,394,39.51505591438425,27.90131188219963,,,,
7,314.5,13,212,6,15.012888626970359,0.4248930743482177,-326.9896610421164,-369.40069759902593,19348.500653379662,22105.974236948656,,,,,,,,,,,,,,,,,,,24,558,394,39.51505591438425,27.90131188219963,0.0,1.857895801375667,0.0,-109.93466280329388
8,326.0,14,213,8,15.083704139361728,0.5665240991309569,,,,,,,,,,,,,,,,,,,,,,,24,558,394,39.51505591438425,27.90131188219963,0.18007389747621044,0.0,116.17670804916726,0.0
9,337.4,14,212,8,15.012888626970359,0.5665240991309569,5.088177631751264,3.3754531935262913,-220.74523348161654,-213.0837937078514,,,,,,,,,,,,,,,,,,,24,558,395,39.51505591438425,27.972127394591,0.6950889118747295,1.017635526350258,36.487606922558015,-44.14904669632354
