frame_no,timestamp,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,118.2,,,,,,,,,,,,,,,,,,,48,286,590,20.25323654393171,41.78115231090808,,,,,,,,,,,,,
1,118.2,,,,,,,,,,,,,,,,,,,27,307,228,,,,,,,,,,,,,,,
2,214.5,,,,,,,,,,,,,,,,,,,62,441,38,,,,,,,,,,,,,,,
3,241.8,,,,,,,,,,,,,,,,,,,43,809,569,57.289749524618024,40.29402655068931,,,,,,,,,,,,,
4,260.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,568,412,40.22321103829794,29.175991105244282,,,,
5,272.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,568,412,40.22321103829794,29.175991105244282,,,,
6,293.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,568,412,40.22321103829794,29.175991105244282,,,,
7,303.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,568,412,40.22321103829794,29.175991105244282,1.0926947278474584,0.0,50.823010597556205,0.0
8,313.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,569,412,40.29402655068931,29.175991105244282,0.8921190297808324,0.0,-40.73602875711567,0.0
9,324.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,569,412,40.29402655068931,29.175991105244282,1.1665914912706612,0.0,-75.7526942383546,0.0
10,339.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,569,412,40.29402655068931,29.175991105244282,1.3752448773156736,0.0,-34.90469231765671,0.0
11,357.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,569,412,40.29402655068931,29.175991105244282,0.0,0.0,0.0,0.0
12,385.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,568,412,40.22321103829794,29.175991105244282,-0.4703590282241742,0.0,22.34484694651658,0.0
13,417.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,569,412,40.29402655068931,29.175991105244282,0.0,0.0,0.0,0.0
14,453.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,569,412,40.29402655068931,29.175991105244282,0.0,0.0,0.0,0.0
15,489.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,569,412,40.29402655068931,29.175991105244282,0.3306148696092334,0.0,-6.852121649932298,0.0
16,517.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,569,412,40.29402655068931,29.175991105244282,0.0,-0.35407756195684925,0.0,-7.081551239136984
17,553.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,569,412,40.29402655068931,29.175991105244282,0.0,0.0,0.0,0.0
18,585.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,569,412,40.29402655068931,29.175991105244282,0.0,0.0,0.0,0.0
19,617.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,569,411,40.29402655068931,29.105175592852913,0.0,-0.18591683194194447,0.0,10.44476583943508
20,685.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,569,412,40.29402655068931,29.175991105244282,0.0,0.0,0.0,0.0
21,717.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,569,412,40.29402655068931,29.175991105244282,0.0,0.0,0.0,0.0
22,753.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,569,412,40.29402655068931,29.175991105244282,0.0,0.22444387485077064,0.0,-4.392248040132496
23,785.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,569,412,40.29402655068931,29.175991105244282,0.0,0.0,0.0,0.0
24,823.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,569,412,40.29402655068931,29.175991105244282,0.0,0.0,0.0,0.0
25,855.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,569,412,40.29402655068931,29.175991105244282,0.0,0.0,0.0,0.0
26,887.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,569,412,40.29402655068931,29.175991105244282,0.0,0.0,0.0,0.0
27,922.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,569,412,40.29402655068931,29.175991105244282,0.0,0.0,0.0,0.0
28,953.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,569,412,40.29402655068931,29.175991105244282,0.0,-0.35139042711730006,0.0,-7.156627843529538
