frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
376,12495.6,14,912,523,73.85731102,42.35457638,29.88125838,-2.021946827,-15.33896644,23.99408605,,,,,,,,,
377,12531,14,925,523,74.91010163,42.35457638,28.89448573,-2.038367984,-27.72165649,8.397765648,,,,,,,,,
378,12563,13,937,523,75.88190836,42.35457638,28.14321712,-0.79730209,-46.9114574,-16.20532704,,,,,,,,,
379,12598.6,13,949,522,76.85371508,42.27359249,27.03285462,-0.380926602,-39.9698444,7.870384332,,,,,,,,,
380,12631.1,13,959,521,77.66355402,42.1926086,25.49516807,-0.403503767,-40.19677827,24.26685407,,,,,,,,,
381,12663.5,13,969,521,78.47339295,42.1926086,24.58824339,-1.20891578,-23.83428846,8.014009832,,,,,,,,,
382,12695.4,13,979,522,79.28323189,42.27359249,23.50826453,-1.195006236,-32.85226486,-24.69021148,,,,,,,,,
383,12731.1,13,988,522,80.01208693,42.27359249,22.29047391,-0.407759991,-23.89710504,-24.35197855,,,,,,,,,
384,12763.9,13,998,520,80.82192587,42.1116247,21.0453116,0.007295992,-46.74204198,16.21331631,,,,,,,,,
385,12795.4,13,1006,519,81.46979702,42.03064081,19.45076029,-0.807405363,-48.29782003,32.44222893,,,,,,,,,
386,12830.9,13,1014,520,82.11766817,42.1116247,18.63616266,-0.813084784,-49.33558536,16.22923721,,,,,,,,,
387,12863.4,13,1021,521,82.68455542,42.1926086,17.07821719,-0.404097398,-32.99854923,-24.48253019,,,,,,,,,
388,12895.2,12,1027,520,83.17045879,42.1116247,16.21464714,0.001622924,-16.55414686,-16.22923721,,,,,,,,,
389,12931.1,13,1034,520,83.73734604,42.1116247,14.55366038,-0.809433816,-32.15148602,-16.15636359,,,,,,,,,
390,12963.1,13,1040,519,84.2232494,42.03064081,11.7647418,-0.814712591,-73.59072648,16.24551528,,,,,,,,,
391,12995.2,13,1046,519,84.70915277,42.03064081,8.207131539,-0.026629133,-143.5961651,15.66419607,,,,,,,,,
392,13031.2,12,1050,518,85.03308834,41.94965691,3.21180739,0.411203738,-194.4589634,40.54472631,,,,,,,,,
393,13063.4,12,1050,519,85.03308834,42.03064081,0.620695138,1.158624602,-148.6235639,23.1031825,,,,,,,,,
394,13098.6,12,1047,520,84.79013666,42.1116247,-0.768188572,1.167315675,-30.00770551,7.42951396,,,,,,,,,
395,13131,12,1042,521,84.38521719,42.1926086,-1.622923721,0.81146186,97.57056436,-32.52352145,,,,,,,,,
396,13166.7,12,1041,522,84.3042333,42.27359249,-1.79063004,-0.097205709,101.937694,-47.41741892,,,,,,,,,
397,13202.8,12,1044,522,84.54718498,42.27359249,-1.095823594,-1.592085541,23.71912542,-60.39306897,,,,,,,,,
398,13230.8,12,1046,520,84.70915277,42.1116247,0.819563521,-1.616451462,-48.62292424,-16.13205614,,,,,,,,,
399,13265.9,12,1045,519,84.62816887,42.03064081,1.617791004,-1.213343253,-33.2195278,24.91464585,,,,,,,,,
400,13295.2,12,1044,517,84.54718498,41.86867302,0,-1.110900102,0,70.80833823,,,,,,,,,
401,13331,12,1044,517,84.54718498,41.86867302,-1.212535893,0.407139153,8.062057679,56.52308639,,,,,,,,,
402,13363.3,12,1045,519,84.62816887,42.03064081,-0.399586182,0.399586182,-8.205055082,8.205055082,,,,,,,,,
403,13395.2,12,1044,520,84.54718498,42.1116247,0,0.879266418,0,-31.00500783,,,,,,,,,
404,13431.1,12,1043,521,84.46620109,42.1926086,-0.404110438,0.3992514,8.090299067,-56.68068385,,,,,,,,,
405,13463.3,12,1044,520,84.54718498,42.1116247,-0.809434624,-0.403503767,0.008086256,-24.26685407,,,,,,,,,
406,13501.2,12,1044,519,84.54718498,42.03064081,0,-0.359281887,0,7.636171882,,,,,,,,,
407,13531,12,1043,518,84.46620109,41.94965691,0,0,0,48.68766283,,,,,,,,,
408,13563.4,12,1043,518,84.46620109,41.94965691,-0.404514953,0,8.08221685,32.3288674,,,,,,,,,
409,13595.3,12,1044,519,84.54718498,42.03064081,-0.391424274,0,-8.319325698,0,,,,,,,,,
410,13630.9,12,1043,521,84.46620109,42.1926086,0,0.002431949,0,-48.63897517,,,,,,,,,
411,13663.5,12,1043,520,84.46620109,42.1116247,0.406950971,0.400459256,8.130888527,-24.32768346,,,,,,,,,
412,13695.5,12,1043,519,84.46620109,42.03064081,-0.402897699,0,8.090315231,0,,,,,,,,,
413,13730.9,12,1043,518,84.46620109,41.94965691,0,-0.81709124,0,32.2485114,,,,,,,,,
414,13763.2,12,1044,519,84.54718498,42.03064081,0.004859077,-0.407356296,-16.1969245,8.122757639,,,,,,,,,
415,13795.1,12,1043,519,84.46620109,42.03064081,0,-0.402294657,0,-8.078205968,,,,,,,,,
416,13831.5,12,1043,519,84.46620109,42.03064081,0,0.400291774,0,-8.0460658,,,,,,,,,
417,13863.5,12,1043,519,84.46620109,42.03064081,-0.402497218,0,8.074166865,0,,,,,,,,,
418,13895.4,12,1043,518,84.46620109,41.94965691,0,-1.46E-14,0,16.10003363,,,,,,,,,
419,13931,12,1043,519,84.46620109,42.03064081,0,0,0,0,,,,,,,,,
420,13963.2,12,1043,519,84.46620109,42.03064081,0,0,0,0,,,,,,,,,
421,13995.7,12,1043,519,84.46620109,42.03064081,0,0.403103688,0,-8.062073755,,,,,,,,,
422,14031.1,12,1043,519,84.46620109,42.03064081,0,0,0,0,,,,,,,,,
423,14063,12,1043,519,84.46620109,42.03064081,0,0,0,0,,,,,,,,,
424,14095.7,12,1043,519,84.46620109,42.03064081,0,0,0,0,,,,,,,,,
