frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
57,1884.1,13,613,277,,,,,,,12,315,309,,,,,,,,,,,,,,,,14,358,607,,,,,,
58,1916.2,13,612,275,,,,,,,12,315,310,,,,,,,,,,,,,,,,14,359,607,,,,,,
59,1948.3,13,610,274,,,,,,,12,313,311,,,,,,,,,,,,,,,,14,361,608,,,,,,
60,1984.2,13,607,272,,,,,,,13,311,314,,,,,,,,,,,,,,,,14,363,610,,,,,,
61,2016.1,13,602,270,,,,,,,13,308,318,,,,,,,,,,,,,,,,14,365,612,,,,,,
62,2048.3,13,596,267,,,,,,,13,303,323,,,,,,,,,,,,,,,,14,368,616,,,,,,
63,2084,13,589,264,,,,,,,13,297,329,,,,,,,,,,,,,,,,14,373,620,,,,,,
64,2116.2,13,580,259,,,,,,,13,292,338,,,,,,,,,,,,,,,,14,379,624,,,,,,
65,2148.3,13,568,252,,,,,,,13,287,350,,,,,,,,,,,,,,,,15,390,630,,,,,,
66,2184.2,13,553,245,,,,,,,13,281,363,,,,,,,,,,,,,,,,15,404,635,,,,,,
67,2216.1,13,538,237,,,,,,,13,277,379,,,,,,,,,,,,,,,,15,422,640,,,,,,
68,2248.2,13,521,231,,,,,,,12,274,396,,,,,,,,,,,,,,,,14,444,643,,,,,,
69,2284.1,13,504,226,,,,,,,13,274,415,,,,,,,,,,,,,,,,15,465,644,,,,,,
70,2316.3,13,488,223,,,,,,,13,276,433,,,,,,,,,,,,,,,,15,487,643,,,,,,
