frame_no,timestamp,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,122.6,,,,,,,,,,,,,,,,,,,61,221,810,15.650228238492685,57.36056503700939,,,,,,,,,,,,,
1,122.6,,,,,,,,,,,,,,,,,,,21,311,224,,,,,,,,,,,,,,,
2,229.7,,,,,,,,,,,,,,,,,,,53,43,735,,,,,,,,,,,,,,,
3,262.9,,,,,,,,,,,,,,,,,,,57,813,397,57.5730115741835,28.113758419373738,,,,,,,,,,,,,
4,286.6,15,159,10,11.259666470227769,0.7081551239136962,,,,,,,,,,,,,,,,,,,,,,,24,566,408,40.0815800135152,28.892729055678803,,,,
5,306.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,567,409,40.15239552590657,28.963544568070173,,,,
6,316.4,12,160,14,11.330481982619139,0.9914171734791747,,,,,,,,,,,,,,,,,,,,,,,24,567,409,40.15239552590657,28.963544568070173,,,,
7,326.3,12,163,12,11.542928519793248,0.8497861486964354,0.2873214236652727,1.5208410008192987,-344.9744482180183,-103.10786446232534,,,,,,,,,,,,,,,,,,,24,567,409,40.15239552590657,28.963544568070173,0.7604205004096518,0.7604205004096518,-51.553932231162825,-51.553932231162825
8,336.2,13,162,15,11.472113007401878,1.0622326858705442,,,,,,,,,,,,,,,,,,,,,,,25,566,409,40.0815800135152,28.963544568070173,0.07451127145556392,0.0,165.58060323459088,0.0
9,346.1,13,160,11,11.330481982619139,0.7789706363050658,0.8630793137223361,-3.090506704233214,58.119819105881135,273.57409801354027,,,,,,,,,,,,,,,,,,,23,567,409,40.15239552590657,28.963544568070173,0.8630793137223361,0.0,58.119819105881135,0.0
