frame_no,timestamp,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,111.4,,,,,,,,,,,,,,,,,,,29,310,232,21.952808841324583,16.429198874797752,,,,,,,,,,,,,
1,111.4,,,,,,,,,,,,,,,,,,,37,811,575,57.43138054940076,40.71891962503753,,,,,,,,,,,,,
2,196.9,,,,,,,,,,,,,,,,,,,43,811,567,,,,,,,,,,,,,,,
3,217.9,,,,,,,,,,,,,,,,,,,50,810,998,57.36056503700939,70.67388136658688,,,,,,,,,,,,,
4,231.9,,,,,,,,,,,,,,,,,,,65,219,371,15.508597213709946,26.27255509719813,,,,,,,,,,,,,
5,242.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,560,400,39.65668693916699,28.326204956547848,,,,
6,261.9,14,156,13,11.047219933053661,0.9206016610878051,,,,,,,,,,,,,,,,,,,,,,,25,560,400,39.65668693916699,28.326204956547848,,,,
7,277.3,13,156,12,11.047219933053661,0.8497861486964354,,,,,,,,,,,,,,,,,,,,,,,22,560,400,39.65668693916699,28.326204956547848,,,,
8,370.6,14,155,12,10.976404420662291,0.8497861486964354,,,,,,,,,,,,,,,,,,,,,,,23,560,400,39.65668693916699,28.326204956547848,0.0,-0.18381022343747716,0.0,-2.867554187792155
9,469.7,14,155,12,10.976404420662291,0.8497861486964354,0.3659547667567367,0.3659547667567355,6.802133211091757,6.8021332110917365,,,,,,,,,,,,,,,,,,,23,561,400,39.72750245155836,28.326204956547848,-0.3659547667567367,0.47682114585525887,-6.802133211091757,4.58923143267814
10,506.1,14,155,11,10.976404420662291,0.7789706363050658,0.4000659141047269,0.8941334537837606,6.202572311701188,10.521344511692734,,,,,,,,,,,,,,,,,,,23,560,400,39.65668693916699,28.326204956547848,0.0,0.0,0.0,0.0
11,537.8,14,156,13,11.047219933053661,0.9206016610878051,-0.7303841532104048,-0.7303841532104024,-13.802893621379264,-13.80289362137922,,,,,,,,,,,,,,,,,,,22,560,399,39.65668693916699,28.255389444156478,0.0,0.2860365189217141,0.0,8.48773053180162
12,569.9,13,156,13,11.047219933053661,0.9206016610878051,0.35301780251370324,0.35301780251370213,-7.0603560502740645,-7.0603560502740415,,,,,,,,,,,,,,,,,,,23,560,401,39.65668693916699,28.397020468939218,-0.35301780251370324,-0.001413483281264663,7.0603560502740645,-14.134832812648675
13,605.9,14,156,13,11.047219933053661,0.9206016610878051,0.35934918644788466,0.718698372895767,-7.018538797810249,-14.037077595620453,,,,,,,,,,,,,,,,,,,23,560,400,39.65668693916699,28.326204956547848,0.0,0.0,0.0,0.0
14,637.6,14,154,11,10.905588908270921,0.7789706363050658,-0.012683552039973385,-0.012683552039973277,28.185671199945013,28.185671199944927,,,,,,,,,,,,,,,,,,,23,560,400,39.65668693916699,28.326204956547848,0.0,0.006341776019986692,0.0,-14.092835599972506
15,669.9,14,156,13,11.047219933053661,0.9206016610878051,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,23,560,400,39.65668693916699,28.326204956547848,0.0,-0.35636420294315785,0.0,7.035818419410813
16,708.3,14,156,13,11.047219933053661,0.9206016610878051,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,23,560,400,39.65668693916699,28.326204956547848,0.0,0.0,0.0,0.0
17,738.3,14,156,13,11.047219933053661,0.9206016610878051,0.796774830230939,0.7967748302309365,-12.109039973114573,-12.109039973114534,,,,,,,,,,,,,,,,,,,22,560,399,39.65668693916699,28.255389444156478,0.0,-0.16512070015162372,0.0,10.687423958033868
18,771.2,14,156,13,11.047219933053661,0.9206016610878051,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,23,560,400,39.65668693916699,28.326204956547848,0.0,0.0,0.0,0.0
19,838.2,14,156,13,11.047219933053661,0.9206016610878051,0.0,-0.36637378832291007,0.0,-5.640858942616009,,,,,,,,,,,,,,,,,,,23,560,400,39.65668693916699,28.326204956547848,0.3663737883229112,0.0,5.640858942616026,0.0
20,869.9,14,156,13,11.047219933053661,0.9206016610878051,0.0,-0.401813181669614,0.0,-6.106583308048844,,,,,,,,,,,,,,,,,,,23,560,400,39.65668693916699,28.326204956547848,0.0,0.6342904833887744,0.0,1.4616821747989297
21,905.6,14,156,13,11.047219933053661,0.9206016610878051,-0.40662108396916374,-0.8132421679383248,-6.050908987636366,-12.101817975272695,,,,,,,,,,,,,,,,,,,23,560,400,39.65668693916699,28.326204956547848,0.0,-0.40662108396916374,0.0,-6.050908987636366
