frame_no,timestamp,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,128.8,,,,,,,,,,,,,,,,,,,53,217,818,15.366966188927208,57.927089136140346,,,,,,,,,,,,,
1,128.8,,,,,,,,,,,,,,,,,,,45,102,468,,,,,,,,,,,,,,,
2,233.2,,,,,,,,,,,,,,,,,,,60,43,744,,,,,,,,,,,,,,,
3,256.6,,,,,,,,,,,,,,,,,,,57,813,396,57.5730115741835,28.04294290698237,,,,,,,,,,,,,
4,277.6,12,170,25,12.038637106532835,1.7703878097842405,,,,,,,,,,,,,,,,,,,,,,,23,555,390,39.30260937721014,27.61804983263415,,,,
5,297.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,554,390,39.23179386481877,27.61804983263415,,,,
6,313.2,7,169,24,11.967821594141466,1.6995722973928709,,,,,,,,,,,,,,,,,,,,,,,24,553,390,39.1609783524274,27.61804983263415,,,,
7,324.1,13,171,26,12.109452618924205,1.8412033221756101,-1.3750057527829112,-1.3750057527829065,-124.64172033370352,-124.64172033370312,,,,,,,,,,,,,,,,,,,24,554,390,39.23179386481877,27.61804983263415,-0.6838678896277115,0.0,36.08801528378427,0.0
8,336.2,12,170,25,12.038637106532835,1.7703878097842405,,,,,,,,,,,,,,,,,,,,,,,24,553,390,39.1609783524274,27.61804983263415,-0.9641562070425213,0.0,44.02539758185027,0.0
9,348.8,13,169,25,11.967821594141466,1.7703878097842405,0.0,0.8722358684294796,0.0,-62.75078190140149,,,,,,,,,,,,,,,,,,,23,554,390,39.23179386481877,27.61804983263415,1.2738915803010002,0.40165571187151783,-40.18585426817036,22.564927633231324
10,362.0,13,169,24,11.967821594141466,1.6995722973928709,-2.6039181548446733,-2.3574053723295876,59.791461649705454,72.80005175604182,,,,,,,,,,,,,,,,,,,23,554,390,39.23179386481877,27.61804983263415,0.0,0.0,0.0,0.0
11,380.0,14,168,24,11.897006081750096,1.6995722973928709,-2.034021225538925,-0.909344844113446,54.77460343209562,32.30354686015793,,,,,,,,,,,,,,,,,,,23,553,390,39.1609783524274,27.61804983263415,0.21533153731202778,0.0,9.832490288220443,0.0
12,412.2,13,169,24,11.967821594141466,1.6995722973928709,0.0,-0.4095162416074881,0.0,22.316961395503448,,,,,,,,,,,,,,,,,,,23,554,391,39.23179386481877,27.68886534502552,0.0,0.40951624160748934,0.0,-22.316961395503515
13,449.1,13,169,25,11.967821594141466,1.7703878097842405,0.0,0.48804600330106135,0.0,-7.462477114695132,,,,,,,,,,,,,,,,,,,23,554,390,39.23179386481877,27.61804983263415,0.0,0.0,0.0,0.0
14,480.1,14,169,25,11.967821594141466,1.7703878097842405,0.40312660880570395,0.4031266088057026,-6.080341007627509,-6.0803410076274895,,,,,,,,,,,,,,,,,,,23,554,390,39.23179386481877,27.61804983263415,0.40312660880570395,0.0,-6.080341007627509,0.0
15,512.3,14,169,25,11.967821594141466,1.7703878097842405,0.0,0.18636222817734444,0.0,-10.411297663538756,,,,,,,,,,,,,,,,,,,23,554,390,39.23179386481877,27.61804983263415,0.0,-0.40738194576555525,0.0,5.995319290147974
16,579.9,14,169,25,11.967821594141466,1.7703878097842405,0.0,-0.40075424881706173,0.0,-6.127740807600336,,,,,,,,,,,,,,,,,,,23,554,390,39.23179386481877,27.61804983263415,0.0,0.0,0.0,0.0
17,612.7,14,169,25,11.967821594141466,1.7703878097842405,0.0,-0.40140455102746164,0.0,-6.054367285482075,,,,,,,,,,,,,,,,,,,23,554,390,39.23179386481877,27.61804983263415,0.0,0.0,0.0,0.0
