frame_no,timestamp,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,122.0,,,,,,,,,,,,,,,,,,,46,680,477,48.15454842613134,33.778999410683305,,,,,,,,,,,,,
1,122.0,,,,,,,,,,,,,,,,,,,48,48,474,,,,,,,,,,,,,,,
2,221.4,,,,,,,,,,,,,,,,,,,36,813,571,,,,,,,,,,,,,,,
3,243.0,,,,,,,,,,,,,,,,,,,45,814,567,57.643827086574866,40.15239552590657,,,,,,,,,,,,,
4,262.7,25,560,399,39.65668693916699,28.255389444156478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,279.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,554,394,39.23179386481877,27.90131188219963,,,,
6,297.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,561,400,39.72750245155836,28.326204956547848,,,,
7,306.7,12,161,17,11.401297495010509,1.2038637106532835,245.84056523497048,266.4472551305472,40364.02305216445,40057.02991657777,,,,,,,,,,,,,,,,,,,23,561,400,39.72750245155836,28.326204956547848,,,,
8,318.3,12,164,15,11.613744032184618,1.0622326858705442,,,,,,,,,,,,,,,,,,,,,,,23,561,400,39.72750245155836,28.326204956547848,6.961443424020269,-1.841189687664092,-307.2261965455336,-668.9544642581031
9,328.5,14,549,408,38.87771630286192,28.892729055678803,,,,,,,,,,,,,,,,,,,,,,,16,559,388,39.58587142677562,27.476418807851413,-2.215994564579069,-15.464008317100038,144.7764091680504,731.0050626511127
10,338.1,17,551,414,39.01934732764466,29.317622130027022,627.8539999044292,638.8302304834672,-16031.95714965117,-16338.369066073343,,,,,,,,,,,,,,,,,,,21,561,399,39.72750245155836,28.255389444156478,0.14388926134292443,-2.0408119414178643,9.164921104644858,13.659818716477007
11,348.2,24,562,401,39.79831796394973,28.397020468939218,771.8122911080306,748.5415687630649,-11425.792614478616,-11081.296354745593,,,,,,,,,,,,,,,,,,,17,562,395,39.79831796394973,27.972127394591,1.74925455689672,-9.601148157810545,-41.415199248684004,149.8936970242263
12,415.4,19,547,401,38.73608527807918,28.397020468939218,-125.47392539893751,-127.02149742828328,-2850.2671860397795,-2792.109110448827,,,,,,,,,,,,,,,,,,,14,564,408,39.93994898873247,28.892729055678803,1.2247827413747376,5.867498829412052,-65.587058052888,-240.06128482574795
13,447.7,13,163,17,11.542928519793248,1.2038637106532835,32.788174631967834,22.960243970223075,5173.091724971213,5099.865662546987,,,,,,,,,,,,,,,,,,,20,562,397,39.79831796394973,28.113758419373738,0.3079439751679597,0.12689466916230652,-6.1712219472537,25.896871257613718
14,483.3,24,562,401,39.79831796394973,28.397020468939218,-5.713447334730632,4.08103381052186,-84.58101161703377,60.415008297880966,,,,,,,,,,,,,,,,,,,19,560,396,39.65668693916699,28.04294290698237,0.37080639256534614,0.630803565821703,21.00886076857485,1.57857127528883
